Zvalue	Max	Min	zRange	zRangePrev	IO
-29146	0	32767	0	25	7000
-29159	0	32767	0	25	7000
-29149	0	-29656	25	25	8000
-29149	0	-29656	25	25	8000
-29145	24216	-29656	25	25	8000
-29145	24216	-29656	25	25	8000
-29149	24216	-29656	25	25	8000
-29153	24216	-29656	25	25	8000
-29154	0	-29656	25	25	7000
-29154	0	-29656	25	25	7000
-29152	0	-29656	25	25	7000
-29151	0	-29656	25	25	7000
-29147	0	-29656	25	25	7000
-29149	0	-28248	25	25	8000
-29155	0	-28248	25	25	8000
-29151	25624	-28248	25	25	8000
-29161	25624	-28248	25	25	8000
-29159	25624	-28248	25	25	8000
-29160	25624	-28248	25	25	8000
-29159	0	-28248	25	25	8000
-29159	0	-28248	25	25	8000
-29154	0	-28248	25	25	7000
-29154	0	-28248	25	25	7000
-29157	0	-28248	25	25	7000
-29153	0	-28248	25	25	7000
-29155	0	-32688	25	25	8000
-29155	0	-32688	25	25	8000
-29159	21184	-32688	25	25	8000
-29157	21184	-32688	25	25	8000
-29160	21184	-32688	25	25	8000
-29164	0	-32688	25	25	8000
-29160	0	-32688	25	25	7000
-29157	0	-32688	25	25	7000
-29157	0	-32688	25	25	7000
-29162	0	-32688	25	25	7000
-29164	0	-32688	25	25	7000
-29162	0	-31304	25	25	8000
-29154	0	-31304	25	25	8000
-29154	22568	-31304	25	25	8000
-29160	22568	-31304	25	25	8000
-29167	22568	-31304	25	25	8000
-29161	22568	-31304	25	25	8000
-29172	22568	-31304	25	25	8000
-29160	22568	-31304	25	25	8000
-29155	22568	-31304	25	25	8000
-29153	22568	-31304	25	25	8000
-29159	22568	-31304	25	25	8000
-29167	22568	-31304	25	25	8000
-29168	22568	-31304	25	25	8000
-29165	22568	-31304	25	25	8000
-29159	22568	-31304	25	25	8000
-29158	22568	-31304	25	25	8000
-29157	22568	-31304	25	25	8000
-29159	22568	-31304	25	25	8000
-29169	22568	-31304	25	25	8000
-29174	22568	-31304	25	25	8000
-29164	22568	-31304	25	25	7000
-29162	22568	-31304	25	25	7000
-29158	22568	-31304	25	25	7000
-29152	22568	10864	25	25	7000
-29152	22568	10864	25	25	7000
-29166	10872	10864	25	25	7000
-29153	10872	10864	25	25	7000
-29166	10872	10864	25	25	7000
-29165	10872	10864	25	25	7000
-29162	10872	10864	25	25	7000
-29160	10872	10864	25	25	7000
-29158	10872	10864	25	25	7000
-29157	10872	10864	25	25	7000
-29160	10872	10864	25	25	7000
-29165	10872	10864	25	25	7000
-29162	10872	10864	25	25	7000
-29166	10872	10864	25	25	7000
-29165	10872	10864	25	25	7000
-29162	10872	10864	25	25	7000
-29162	10872	10864	25	25	7000
-29161	10872	10864	25	25	7000
-29162	10872	10864	25	25	7000
-29164	10872	10864	25	25	7000
-29161	10872	10864	25	25	7000
-29162	10872	10864	25	25	7000
-29154	10872	10864	25	25	7000
-29161	10872	10864	25	25	7000
-29162	10872	10864	25	25	7000
-29165	10872	10864	25	25	7000
-29162	10872	10864	25	25	7000
-29159	10872	10864	25	25	7000
-29158	10872	10864	25	25	7000
-29159	10872	10864	25	25	7000
-29161	10872	10864	25	25	7000
-29165	10872	10864	25	25	7000
-29175	10872	10864	25	25	7000
-29161	10872	10864	25	25	7000
-29148	10872	10864	25	25	7000
-29149	10872	10864	25	25	7000
-29161	10872	10856	25	25	8000
-29166	10872	10856	25	25	8000
-29169	10872	10856	25	25	8000
-29159	10872	10856	25	25	8000
-29155	10864	10856	25	25	8000
-29152	10864	10856	25	25	8000
-29162	10864	10856	25	25	8000
-29167	10864	10856	25	25	8000
-29162	10864	10856	25	25	8000
-29161	10864	10856	25	25	8000
-29158	10864	10856	25	25	8000
-29152	10864	10856	25	25	8000
-29151	10864	10856	25	25	8000
-29149	10864	10856	25	25	8000
-29154	10864	10856	25	25	8000
-29149	10864	10856	25	25	8000
-29165	10864	10856	25	25	8000
-29165	10864	10856	25	25	8000
-29154	10864	10856	25	25	8000
-29153	10864	10856	25	25	8000
-29158	10864	10856	25	25	8000
-29158	10864	10856	25	25	8000
-29159	10864	10856	25	25	8000
-29158	10864	10856	25	25	8000
-29157	10864	10856	25	25	8000
-29154	10864	10856	25	25	8000
-29155	10864	10856	25	25	8000
-29158	10864	10856	25	25	8000
-29154	10864	10856	25	25	8000
-29157	10864	10856	25	25	8000
-29160	10864	10856	25	25	8000
-29158	10864	10856	25	25	8000
-29154	10864	10856	25	25	8000
-29154	10864	10856	25	25	8000
-29162	10864	10856	25	25	8000
-29161	10864	10856	25	25	8000
-29154	10864	10856	25	25	8000
-29157	10864	10856	25	25	8000
-29157	10864	10856	25	25	8000
-29165	10864	10856	25	25	8000
-29175	10888	10856	32	32	8000
-29149	10888	10856	32	32	8000
-29146	10888	10856	32	32	8000
-29146	10888	10880	32	32	8000
-29165	10888	10880	32	32	8000
-29160	10888	10880	32	32	8000
-29157	10888	10880	32	32	8000
-29151	10888	10880	32	32	8000
-29158	10888	10880	32	32	8000
-29174	10888	10880	32	32	8000
-29173	10888	10880	32	32	8000
-29164	10888	10880	32	32	8000
-29157	10888	10880	32	32	8000
-29153	10888	10880	32	32	8000
-29151	10888	10880	32	32	8000
-29153	10888	10880	32	32	8000
-29159	10888	10880	32	32	8000
-29155	10888	10880	32	32	8000
-29162	10888	10880	32	32	8000
-29167	10896	10880	32	32	7000
-29167	10896	10880	32	32	7000
-29157	10896	10880	32	32	7000
-29160	10896	10880	32	32	7000
-29162	10896	10880	32	32	7000
-29162	10896	10880	32	32	7000
-29162	10896	10880	32	32	7000
-29164	10896	10880	32	32	7000
-29159	10896	10880	32	32	7000
-29158	10896	10880	32	32	7000
-29160	10896	10880	32	32	7000
-29164	10896	10880	32	32	7000
-29164	10896	10880	32	32	7000
-29158	10896	10880	32	32	7000
-29160	10896	10880	32	32	7000
-29159	10896	10880	32	32	7000
-29160	10896	10880	32	32	7000
-29162	10896	10880	32	32	7000
-29158	10896	10880	32	32	7000
-29161	10896	10880	32	32	7000
-29161	10896	10880	32	32	7000
-29162	10896	10880	32	32	7000
-29162	10896	10880	32	32	7000
-29165	10896	10880	32	32	7000
-29161	10896	10880	32	32	7000
-29159	10896	10880	32	32	7000
-29161	10896	10880	32	32	7000
-29182	10896	10880	32	32	7000
-29155	10896	10880	32	32	7000
-29151	10896	10880	32	32	7000
-29168	10896	10880	32	32	7000
-29166	10896	10880	32	32	7000
-29155	10896	10880	32	32	7000
-29157	10896	10880	32	32	7000
-29164	10896	10880	32	32	7000
-29174	10896	10880	32	32	7000
-29171	10896	10880	32	32	7000
-29164	10896	10880	32	32	7000
-29162	10896	10880	32	32	7000
-29159	10896	10880	32	32	7000
-29161	10896	10880	32	32	7000
-29160	10896	10880	32	32	7000
-29171	10896	10880	32	32	7000
-29162	10896	10880	32	32	7000
-29165	10896	10880	32	32	7000
-29167	10896	10880	32	32	7000
-29166	10896	10880	32	32	7000
-29166	10896	10880	32	32	7000
-29164	10896	10880	32	32	7000
-29165	10896	10880	32	32	7000
-29167	10896	10880	32	32	7000
-29165	10896	10880	32	32	7000
-29165	10896	10880	32	32	7000
-29164	10896	10880	32	32	7000
-29162	10896	10880	32	32	7000
-29164	10896	10880	32	32	7000
-29164	10896	10880	32	32	7000
-29164	10896	10880	32	32	7000
-29166	10896	10880	32	32	7000
-29164	10896	10880	32	32	7000
-29165	10896	10880	32	32	7000
-29164	10896	10880	32	32	7000
-29164	10896	10880	32	32	7000
-29164	10896	10880	32	32	7000
-29160	10896	10880	32	32	7000
-29165	10896	10880	32	32	7000
-29167	10896	10880	32	32	7000
-29165	10896	10880	32	32	7000
-29152	10896	10880	32	32	7000
-29160	10896	10880	32	32	7000
-29179	10896	10880	32	32	7000
-29154	10896	10880	32	32	7000
-29148	10896	10880	32	32	7000
-29166	10896	10880	32	32	7000
-29160	10896	10880	32	32	7000
-29154	10896	10880	32	32	7000
-29164	10896	10880	32	32	7000
-29162	10896	10880	32	32	7000
-29157	10896	10880	32	32	7000
-29149	10896	10832	64	64	8000
-29157	10896	10832	64	64	8000
-29161	10896	10832	64	64	8000
-29161	10896	10832	64	64	8000
-29157	10896	10832	64	64	8000
-29159	10896	10832	64	64	8000
-29159	10896	10832	64	64	8000
-29154	10896	10832	64	64	8000
-29158	10896	10832	64	64	8000
-29161	10896	10832	64	64	8000
-29160	10896	10832	64	64	8000
-29158	10896	10832	64	64	8000
-29157	10896	10832	64	64	8000
-29155	10896	10832	64	64	8000
-29158	10896	10832	64	64	8000
-29157	10896	10832	64	64	8000
-29159	10896	10832	64	64	8000
-29161	10896	10832	64	64	8000
-29157	10896	10832	64	64	8000
-29159	10896	10832	64	64	8000
-29159	10896	10832	64	64	8000
-29159	10896	10832	64	64	8000
-29155	10896	10832	64	64	8000
-29157	10896	10832	64	64	8000
-29162	10896	10832	64	64	8000
-29160	10896	10832	64	64	8000
-29153	10896	10832	64	64	8000
-29154	10896	10832	64	64	8000
-29161	10896	10832	64	64	8000
-29159	10896	10832	64	64	8000
-29148	10896	10832	64	64	8000
-29158	10896	10832	64	64	8000
-29164	10896	10832	64	64	8000
-29158	10896	10832	64	64	8000
-29155	10896	10832	64	64	8000
-29164	10896	10832	64	64	8000
