Zvalue	Max	Min	zRange	zRangePrev	IO
231	0	32767	25	25	8000
459	0	32767	25	25	8000
688	0	32767	25	25	8000
916	0	32767	25	25	8000
1145	0	32767	25	25	8000
1374	0	32767	25	25	8000
1602	0	32767	25	25	8000
1830	0	32767	25	25	8000
2059	0	32767	25	25	8000
2287	0	32767	25	25	8000
2516	0	32767	25	25	8000
2744	0	32767	25	25	8000
2972	0	32767	25	25	8000
3201	0	32767	25	25	8000
3429	0	32767	25	25	8000
3658	0	32767	25	25	8000
3886	0	32767	25	25	8000
4114	0	32767	25	25	8000
4342	0	32767	25	25	8000
4570	0	32767	25	25	8000
4798	0	32767	25	25	8000
5027	0	32767	25	25	8000
5255	0	32767	25	25	8000
5483	0	32767	25	25	8000
5711	0	32767	25	25	8000
5939	0	32767	25	25	8000
6167	0	32767	25	25	8000
6396	0	32767	25	25	8000
6624	0	32767	25	25	8000
6852	0	32767	25	25	8000
7080	0	32767	25	25	8000
7309	0	32767	25	25	8000
7537	0	32767	25	25	8000
7765	0	32767	25	25	8000
7993	0	32767	25	25	8000
8221	0	32767	25	25	8000
8450	0	32767	25	25	8000
8678	0	32767	25	25	8000
8906	0	32767	25	25	8000
9134	0	32767	25	25	8000
9131	0	32767	25	25	8000
9130	0	32767	25	25	8000
9130	0	32767	25	25	8000
9129	0	32767	25	25	8000
9129	0	32767	25	25	8000
9129	0	32767	25	25	8000
9128	0	32767	25	25	8000
9127	9134	32767	0	25	8000
9126	9134	32767	0	25	8000
9126	9134	32767	0	25	8000
9124	9134	32767	0	25	8000
9124	9134	32767	0	25	8000
9123	9134	32767	0	25	8000
9122	9134	32767	0	25	8000
9121	9134	32767	0	25	8000
9121	9134	32767	0	25	8000
9120	9134	32767	0	25	8000
9120	9134	32767	0	25	8000
9120	9134	32767	0	25	8000
9119	9134	32767	0	25	8000
9119	9134	32767	0	25	8000
9118	9134	32767	0	25	8000
9118	9134	32767	0	25	8000
9118	9134	32767	0	25	8000
9117	9134	32767	0	25	8000
9117	9134	32767	0	25	8000
9116	9134	32767	0	25	8000
9116	9134	32767	0	25	8000
9115	9134	32767	0	25	8000
9115	9134	32767	0	25	8000
9114	9134	32767	0	25	8000
9114	9134	32767	0	25	8000
9113	9134	32767	0	25	8000
9112	9134	32767	0	25	8000
9112	9134	32767	0	25	8000
9111	9134	32767	0	25	8000
9111	9134	32767	0	25	8000
9111	9134	32767	0	25	8000
9110	9134	32767	0	25	8000
9110	9134	32767	0	25	8000
9109	9134	32767	0	25	8000
9109	9134	32767	0	25	8000
9109	9134	32767	0	25	8000
9108	9134	32767	0	25	8000
9108	9134	32767	0	25	8000
9107	9134	32767	0	25	8000
9107	9134	32767	0	25	8000
9108	9134	9107	27	27	8000
9108	9134	9107	27	27	8000
9108	9134	9107	27	27	8000
9108	9134	9107	27	27	8000
9108	9134	9107	27	27	8000
9109	9134	9107	27	27	8000
9109	9134	9107	27	27	8000
9109	9134	9107	27	27	8000
9109	9134	9107	27	27	8000
9109	9134	9107	27	27	8000
9109	9134	9107	27	27	8000
9108	9134	9107	27	27	8000
9108	9134	9107	27	27	8000
9109	9134	9107	27	27	8000
9109	9134	9107	27	27	8000
9109	9134	9107	27	27	8000
9109	9134	9107	27	27	8000
9109	9134	9107	27	27	8000
9109	9134	9107	27	27	8000
9109	9134	9107	27	27	8000
9109	9134	9107	27	27	8000
9109	9134	9107	27	27	8000
9109	9134	9107	27	27	8000
9109	9134	9107	27	27	8000
9109	9134	9107	27	27	8000
9109	9134	9107	27	27	8000
9110	9134	9107	27	27	8000
9110	9134	9107	27	27	8000
9110	9134	9107	27	27	8000
9110	9134	9107	27	27	8000
9109	9134	9107	27	27	8000
9109	9134	9107	27	27	8000
9109	9134	9107	27	27	8000
9109	9134	9107	27	27	8000
9109	9134	9107	27	27	8000
9109	9134	9107	27	27	8000
9109	9134	9107	27	27	8000
9109	9134	9107	27	27	8000
9109	9134	9107	27	27	8000
9109	9134	9107	27	27	8000
9109	9134	9107	27	27	8000
9109	9134	9107	27	27	8000
9109	9134	9107	27	27	8000
9109	9134	9107	27	27	8000
9109	9134	9107	27	27	8000
9109	9134	9107	27	27	8000
9109	9134	9107	27	27	8000
9109	9134	9107	27	27	8000
9109	9134	9107	27	27	8000
9109	9134	9107	27	27	8000
9109	9134	9107	27	27	8000
9109	9134	9107	27	27	8000
9109	9134	9107	27	27	8000
9108	9134	9107	27	27	8000
9108	9134	9107	27	27	8000
9108	9134	9107	27	27	8000
9108	9134	9107	27	27	8000
9108	9134	9107	27	27	8000
9108	9134	9107	27	27	8000
9108	9134	9107	27	27	8000
9107	9134	9107	27	27	8000
9107	9134	9107	27	27	8000
9107	9134	9107	27	27	8000
9107	9134	9107	27	27	8000
9107	9134	9107	27	27	8000
9107	9134	9107	27	27	8000
9107	9134	9107	27	27	8000
9107	9134	9107	27	27	8000
9107	9134	9107	27	27	8000
9107	9134	9107	27	27	8000
9107	9134	9107	27	27	8000
9107	9134	9107	27	27	8000
9107	9134	9107	27	27	8000
9107	9134	9107	27	27	8000
9107	9134	9107	27	27	8000
9106	9134	9107	27	27	8000
9106	9134	9107	27	27	8000
9106	9134	9107	27	27	8000
9106	9134	9107	27	27	8000
9106	9134	9107	27	27	8000
9106	9134	9107	27	27	8000
9106	9134	9107	27	27	8000
9106	9134	9107	27	27	8000
9106	9134	9107	27	27	8000
9105	9134	9107	27	27	8000
9105	9134	9107	27	27	8000
9105	9134	9107	27	27	8000
9105	9134	9107	27	27	8000
9105	9134	9107	27	27	8000
9105	9134	9107	27	27	8000
9104	9134	9107	27	27	8000
9104	9134	9107	27	27	8000
9104	9134	9107	27	27	8000
9104	9134	9107	27	27	8000
9104	9134	9107	27	27	8000
9104	9134	9107	27	27	8000
9104	9134	9107	27	27	8000
9104	9134	9107	27	27	8000
9104	9134	9107	27	27	8000
9104	9134	9107	27	27	8000
9104	9134	9107	27	27	8000
9104	9134	9107	27	27	8000
9104	9134	9107	27	27	8000
9104	9134	9107	27	27	8000
9104	9134	9107	27	27	8000
9104	9134	9107	27	27	8000
9103	9110	9107	27	27	8000
9103	9110	9107	27	27	8000
9103	9110	9107	27	27	8000
9103	9110	9107	27	27	8000
9103	9110	9107	27	27	8000
9102	9110	9107	27	27	8000
9102	9110	9107	27	27	8000
9102	9110	9107	27	27	8000
9102	9110	9107	27	27	8000
9101	9110	9107	27	27	8000
9101	9110	9107	27	27	8000
9101	9110	9107	27	27	8000
9101	9110	9107	27	27	8000
9101	9110	9107	27	27	8000
9100	9110	9107	27	27	8000
9100	9110	9107	27	27	8000
9101	9110	9107	27	27	8000
9100	9110	9107	27	27	8000
9100	9110	9107	27	27	8000
9101	9110	9107	27	27	8000
9100	9110	9107	27	27	8000
9100	9110	9107	27	27	8000
9100	9110	9107	27	27	8000
9101	9110	9107	27	27	8000
9101	9110	9107	27	27	8000
9101	9110	9107	27	27	8000
9101	9110	9107	27	27	8000
9101	9110	9107	27	27	8000
9101	9110	9107	27	27	8000
9101	9110	9107	27	27	8000
9101	9110	9107	27	27	8000
9101	9110	9107	27	27	8000
9101	9110	9107	27	27	8000
9101	9110	9107	27	27	8000
9102	9110	9107	27	27	8000
9102	9110	9107	27	27	8000
9102	9110	9107	27	27	8000
9102	9110	9107	27	27	8000
9102	9110	9107	27	27	8000
9103	9110	9107	27	27	8000
9103	9110	9107	27	27	8000
9103	9110	9107	27	27	8000
9104	9110	9107	27	27	8000
9104	9110	9107	27	27	8000
9104	9110	9107	27	27	8000
9105	9110	9107	27	27	8000
9105	9110	9107	27	27	8000
9105	9110	9107	27	27	8000
9106	9110	9107	27	27	8000
9106	9110	9107	27	27	8000
9107	9110	9100	27	27	8000
9107	9110	9100	27	27	8000
9108	9110	9100	27	27	8000
9108	9110	9100	27	27	8000
9108	9110	9100	27	27	8000
9109	9110	9100	27	27	8000
9109	9110	9100	27	27	8000
9109	9110	9100	27	27	8000
9109	9110	9100	27	27	8000
9110	9110	9100	27	27	8000
9110	9110	9100	27	27	8000
